Name
J. Barrera
M. Rocental
Eber Bessa
Josué da Feira
F. Barridos
P. Toranzo
C. Gruezo
J. Bottinelli
Vagner
Maurides
H. Fredes
Dória
C. Riaño
L. Fernández
Wanderson
B. Perlaza
F. Martínez
Jonas Damasto
P. Da Silva
M. Rodríguez
W. Morelo
L. Pico
D. Rodríguez
M. Fierro
R. Ibarra
L. Acosta
M. Lobaño
Joshuando Sá
A. Escavar
L. Álvarez
Jeff Meirson
B. Caderado
Amilton
F. Erpen
A. Martín Arias
Rafael Furlan
P. Granoche
H. Toledo
Mauro Cildinho
Paulo Mesqueira
D. Viera
Silvosinho
M. Aguirregaray
J. Sánchez Miño
J. Arzura
J. Cambados
M. Samudio
Fernando Canesín
O. Oyanadir
R. Delgado
B. Bianchi
M. Pisano
E. Barco
Sanaldo Caiado
Pombaxinho
Nuno Padrenda
Fábio
N. Domingo
L. Cinterio
V. Seldero
P. Mouche
A. Solari
J. Hernandero
Ailtio Coelho
L. Advíncula
Denaldo Carneiro
F. Sánchez
C. Mestierra
Camilo
W. Bou
I. Damonte
C. Grossmüller
J. Cabezas
Jony Reitosa
A. González
F. Torijano
Barbosaldinho
Lucas Evangelista
Natinho Mestres
S. Montoya
Y. Sanpian
Serginho
J. Velázquez
A. Morelos
G. Parreses
Nildo Petrolina
Sandelas Júnior
Diego Oliveira
E. Andrada
William
D. Rosero Valencia
M. Miyin
Pedro Júnior
N. Fernández
A. Sagal
N. Cardozo
Luis Couprins
C. Auzqui
Raphael Martinho
Heitor Gesse
M. Hascien
Vieiraldo Junior
Alam Lindeiro
T. Costa
Lins
Enzo Merques
Marlion Simões
M. Torsiglieri
M. Parediso
L. Cabrera
J. Campos
A. Rivas
Lionn
S. Motta
Vitinho
D. Chará
Tiago Pombeira
R. Fardenal
J. Speroni
E. Toloza
G. Poblete
M. Coronel
J. Sánchez
R. Aguileda
S. Medina
R. Baderos
Felipe
M. Cahais
Ricardo Lopes
M. Rangel
L. Aveldaño
J. Aldunsate
A. Soto
Paulolettinho
L. Fariña
J. Cornejo
C. Luna
E. Arévalo Ríos
